"","popularity","danceability","energy","key","loudness","mode","acousticness","instrumentalness","valence","tempo","time_signature","genre","instrumentalness_is_na","log_speechiness","log_liveness","sqrt_duration"
"13",34,0.585,0.381,1,-7.622,0,0.435,0.00391,0.322,143.876,4,9,TRUE,-3.07261331788995,-2.07147337203066,454.835134966506
"14",34,0.462,0.374,11,-12.069,0,0.949,0.929,0.174,122.939,3,7,FALSE,-3.40822199659912,-2.03255795578099,2.10719007211025
"15",76,0.653,0.519,2,-10.164,1,0.406,0.0209,0.822,98.883,4,10,FALSE,-3.00175034587955,-2.29263476214088,392.036988050873
"16",37,0.431,0.852,2,-6.522,1,0.564,0.208,0.794,67.601,4,2,FALSE,-3.14423228187243,-1.3704210119636,383.14488121336
"17",14,0.713,0.939,5,-3.609,0,0.11,5.88e-06,0.88,108.034,4,9,FALSE,-3.29144651770304,-1.10563690360507,423.461922727416
"18",31,0.564,0.801,1,-4.73,0,0.00233,0.0078,0.401,105.01,4,10,FALSE,-3.05124498348425,-2.70306265959117,392.801476575636
"19",29,0.57,0.458,9,-5.935,0,0.502,2.35e-06,0.19,93.088,4,9,FALSE,-3.74650856695057,-2.00991547903123,466.400042881645
"20",70,0.852,0.73,1,-5.803,1,0.0219,0.00391,0.394,92.506,4,5,TRUE,-2.84903789440319,-1.09064411901893,397.105779358599
"21",48,0.347,0.411,6,-8.071,1,0.0181,0.636,0.395,171.991,4,6,FALSE,-3.18447439815087,-2.32790290097834,531.989661553681
"22",44,0.796,0.441,7,-9.83,1,0.16,2.89e-05,0.371,158.105,4,1,FALSE,-1.23100147671386,-2.13707065451647,371.31119024344
"23",29,0.805,0.448,7,-9.452,1,0.0602,1.79e-06,0.775,160.018,4,5,FALSE,-2.18925640768704,-2.1803674602698,371.483512420134
"24",44,0.472,0.947,9,-6.128,1,9.43e-06,0.0155,0.75,98.784,4,10,FALSE,-2.55876849838646,-1.0106014113454,556.656985943768
"25",44,0.556,0.188,8,-12.161,1,0.494,0.00391,0.184,138.091,4,9,TRUE,-3.45459815838927,-2.12863178587061,381.07348372722
"26",NA,0.548,0.711,10,-8.44,1,0.542,9.59e-05,0.618,119.675,3,0,FALSE,-2.23492644452023,-1.03563748950672,2.00390452192713
"27",73,0.867,0.517,11,-13.222,0,0.00456,0.000339,0.866,133.148,4,9,FALSE,-2.43611648561857,-2.44876760317213,507.306613400614
"28",35,0.341,0.47,5,-10.144,1,0.226,0.105,0.203,144.109,4,1,FALSE,-3.29683736633791,-0.657780036722654,451.973450547706
"29",66,0.733,0.726,7,-6.514,1,0.379,2.58e-06,0.915,120.814,4,8,FALSE,-3.29413830936875,-0.752897184965719,444.027026204487
"30",30,0.696,0.661,6,-5.996,1,0.00103,3.21e-05,0.397,121.032,4,6,FALSE,-2.433833379604,-2.17155683058764,425.231701546345
"31",81,0.517,0.848,10,-4.054,1,0.00581,0.00391,0.429,95.906,4,9,TRUE,-2.95459033022282,-1.54177926396029,434.487053892288
"32",4,0.437,0.948,5,-4.287,0,0.000234,0.00391,0.517,170.023,4,6,TRUE,-2.3859667019331,-2.43497428103979,424.609232118191
"33",49,0.384,0.974,1,-3.647,0,0.000153,0.000247,0.155,194.842,4,8,FALSE,-1.95899538860397,-1.48722027970985,497.363046476113
"34",42,0.858,0.525,0,-7.332,1,0.0443,0.00738,0.351,170.875,4,5,FALSE,-1.91054300521802,-1.62455155024415,440.411171520433
"35",16,0.297,0.0958,0,-20.316,1,0.844,0.855,0.296,80.672,4,7,FALSE,-3.25969781938846,-2.07147337203066,1.87183955856265
"36",29,0.516,0.948,2,-3.994,1,0.0279,0.0564,0.957,170.087,4,1,FALSE,-2.74264164587183,-1.89711998488588,361.011080162368
"37",47,0.32,0.242,0,-15.17,1,0.941,0.93,0.431,81.09,4,7,FALSE,-3.16533505794017,-1.80180980508156,1.67858074962154
"38",47,0.661,0.407,4,-9.283,1,0.713,0.00391,0.337,127.873,4,9,TRUE,-3.18931702262666,-2.16282315061889,465.505102012857
"39",37,0.569,0.751,7,-12.826,1,0.365,0.856,0.758,105.156,4,2,FALSE,-3.17485893945143,-2.88061946645349,581.628747570132
"40",44,0.357,0.977,1,-6.489,0,1.6e-05,0.892,0.28,159.81,4,8,FALSE,-2.0874737133771,-2.25379492882461,483.662072112338
"41",63,0.615,0.657,7,-6.873,1,0.000372,0.0204,0.792,109.95,4,10,FALSE,-3.54045944899566,-2.02495335639577,430.224360072742
"42",44,0.479,0.444,0,-6.497,1,0.857,0.00391,0.236,107.915,4,9,TRUE,-3.45459815838927,-1.95899538860397,417.423046800246
"43",65,0.633,0.831,4,-5.053,1,0.0401,0.693,0.243,127.397,4,10,FALSE,-3.07694232897953,-2.14558134418438,595.281446040442
"44",NA,0.618,0.438,11,-7.495,1,0.407,0.00391,0.651,155.014,4,6,TRUE,-2.57439381628954,-0.693147180559945,457.500819671397
"45",55,0.881,0.546,7,-9.357,1,0.0532,0.000149,0.852,102.814,4,6,FALSE,-3.20152718653359,-3.00175034587955,566.050351117284
"46",49,0.624,0.528,9,-9.103,0,0.0286,0.00516,0.33,120.049,4,10,FALSE,-3.36969871460278,-2.44645546341375,534.727033167391
"47",37,0.607,0.503,2,-7.406,1,0.446,0.00391,0.473,135.606,4,9,TRUE,-2.65498348016552,-1.75446368448436,452.81342736275
"48",56,0.799,0.789,0,-8.208,1,0.0595,0.00391,0.831,116.083,4,10,TRUE,-3.23145460707506,-3.38729447649316,577.511904639203
"49",47,0.494,0.0634,2,-19.203,1,0.984,0.926,0.15,78.227,4,7,FALSE,-3.12356564506388,-2.20727491318972,1.73635153900355
"50",49,0.52,0.642,9,-7.546,1,0.000517,0.0017,0.449,88.967,4,10,FALSE,-3.13729583787578,-2.53325691072905,425.403338021694
"51",48,0.595,0.759,11,-4.245,0,0.141,0.00391,0.515,80.953,4,9,TRUE,-3.1629681929299,-1.76026080216868,404.639345590614
"52",NA,0.523,0.441,5,-9.928,1,0.465,0.00268,0.49,171.246,4,0,FALSE,-3.47054745979695,-1.00785792539965,1.83986865482295
"53",28,0.566,0.943,0,-10.359,1,0.00488,0.346,0.324,117.813,4,10,FALSE,-2.09557092360972,-0.317454230785451,634.84407534449
"54",47,0.612,0.86,8,-9.175,1,0.00253,0.00153,0.687,136.212,4,1,FALSE,-3.12356564506388,-1.84516024595517,443.245981369262
"55",77,0.63,0.446,1,-8.9,1,0.337,0.00391,0.177,143.078,4,5,TRUE,-3.34955414851032,-1.79576749062559,449.658759505472
"56",53,0.521,0.532,9,-11.492,0,0.563,0.000435,0.326,95.19,4,9,FALSE,-3.33260459019654,-0.951917909517306,424.891750920161
"57",18,0.501,0.474,2,-13.893,1,0.608,0.885,0.281,102.404,4,10,FALSE,-3.5098967985855,-1.9173226922034,593.520850518328
"58",9,0.185,0.865,9,-10.522,1,0.000632,0.807,0.0789,84.031,3,6,FALSE,-2.85423271128029,-2.18925640768704,455.483259846067
"59",34,0.532,0.685,4,-6.577,0,0.0208,0.000154,0.648,140.036,4,2,FALSE,-3.44828898919601,-1.19402247347277,536.722460867812
"60",41,0.415,0.94,0,-4.874,1,0.0049,0.00391,0.439,134.392,4,1,TRUE,-2.42024313646228,-1.93794197940614,475.002105258493
"61",49,0.425,0.403,4,-9.343,0,0.0792,0.0049,0.135,155.761,4,10,FALSE,-3.60086857679122,-2.1803674602698,569.149365281206
"62",20,0.373,0.707,1,-9.566,0,0.668,3.68e-05,0.75,89.1,4,3,FALSE,-2.87883852208249,-1.01887732064926,1.89179368140397
"63",59,0.39,0.646,6,-3.961,1,0.0904,0.00391,0.271,120.755,4,10,TRUE,-3.29144651770304,-2.17155683058764,462.252095722669
"64",38,0.439,0.795,2,-9.424,1,0.00407,0.00114,0.789,84.846,4,6,FALSE,-3.46094738606793,-1.21739582465808,460.507328931907
"65",56,0.827,0.532,2,-4.775,1,0.0219,2.91e-05,0.694,87.257,4,5,FALSE,-1.19732826160727,-2.06356819252355,538.924855615326
"66",26,0.709,0.685,2,-7.573,1,0.0355,0.0268,0.7,129.987,4,1,FALSE,-3.57198570264244,-3.24676102835774,441.097494892002
"67",41,0.583,0.143,0,-15.786,1,0.676,2.84e-05,0.533,156.009,3,2,FALSE,-1.91054300521802,-2.14558134418438,609.50471696288
"68",35,0.704,0.579,6,-9.331,1,0.287,0.00391,0.712,142.815,4,5,TRUE,-0.872273846457381,-1.97328134585145,420.317736956222
"69",30,0.247,0.88,2,-3.057,1,2.01e-05,0.309,0.333,134.445,4,10,FALSE,-2.33304430047875,-2.10373423424888,487.332535339064
"70",54,0.801,0.637,0,-6.406,1,0.169,3.75e-05,0.769,77.012,4,2,FALSE,-2.87351464082974,-2.38054663446376,467.29005981296
"71",24,0.539,0.578,4,-8.522,1,0.0987,0.000923,0.353,102.03,4,10,FALSE,-3.58271925828555,-1.27296567581289,438.05250826813
"72",63,0.907,0.695,11,-6.268,0,0.246,0.00391,0.961,101.007,4,5,TRUE,-2.00248050054371,-2.51577831345509,546.174880418351
"73",68,0.667,0.636,8,-5.669,1,0.022,0.00391,0.152,158.058,4,10,TRUE,-2.50103603171788,-2.39909599337489,389.731959171942
"74",43,0.436,0.944,10,-7.981,1,0.0035,0.972,0.588,110.002,4,6,FALSE,-3.22388836669175,-2.25379492882461,554.567398969683
"75",41,0.366,0.662,4,-4.914,1,0.00261,0.00391,0.362,148.34,3,10,TRUE,-3.38139475436598,-2.82346105261354,532.916503778969
"76",41,0.777,0.71,0,-4.717,1,0.0295,0.00391,0.673,129.945,4,9,TRUE,-2.3870542496205,-1.65025990695436,2.17883761051621
"77",57,0.54,0.847,11,-6.52,1,0.303,0.272,0.62,148.936,4,10,FALSE,-3.51660823317348,-2.21640739675299,469.690323511141
"78",42,0.435,0.889,11,-6.462,0,2.38e-05,0.000872,0.344,93.896,4,8,FALSE,-3.04913305028111,-0.139262067333508,445.359405424428
"79",79,0.288,0.758,6,-5.692,0,0.00616,0.00391,0.619,97.094,4,10,TRUE,-3.29413830936875,-1.19402247347277,449.139176647952
"80",71,0.562,0.383,6,-15.474,1,0.143,0.124,0.599,93.764,3,10,FALSE,-3.49331267056996,-1.98050159382493,454.708697959474
"81",33,0.683,0.347,1,-10.392,1,0.549,0.00391,0.437,80.009,4,9,TRUE,-3.05124498348425,-2.40019792186105,397.026447481777
"82",44,0.411,0.91,2,-4.867,1,0.000243,0.00082,0.613,106.675,4,10,FALSE,-3.23907853218572,-2.37408109469912,479.611300951093
"83",41,0.49,0.974,8,-4.295,1,0.000546,0.225,0.257,108.946,4,8,FALSE,-2.16282315061889,-1.09064411901893,479.183680857351
"84",55,0.374,0.35,10,-11.48,1,0.843,0.00391,0.129,74.464,1,0,TRUE,-1.73727128394399,-1.67131331615219,1.95232340302523
"85",43,0.633,0.194,8,-14.543,1,0.885,0.404,0.421,143.376,4,2,FALSE,-2.61866663996752,-2.1982250776698,590.239781783641
"86",63,0.523,0.76,5,-12.437,1,0.103,0.00068,0.581,94.267,4,10,FALSE,-3.42651518964645,-2.70905070143579,477.772958632026
"87",35,0.593,0.438,10,-13.451,0,0.883,0.0167,0.758,130.225,3,2,FALSE,-3.57555076880693,-1.14885350510486,369.540254911424
"88",81,0.809,0.463,11,-11.377,1,0.256,0.085,0.364,111.98,4,9,FALSE,-3.2289261607217,-2.21640739675299,2.23211782843111
"89",45,0.748,0.411,8,-6.06,0,0.0532,0.0117,0.339,91.941,4,5,FALSE,-3.01797788250131,-2.16282315061889,380.856928517783
"90",13,0.529,0.595,2,-13.696,1,0.0227,0.0266,0.767,134.642,4,2,FALSE,-3.28341434600577,-3.42344299060947,433.390124483703
"91",41,0.167,0.148,0,-19.539,1,0.955,0.897,0.04,76.412,3,7,FALSE,-3.36101559202932,-2.1982250776698,1.64936351360153
"92",51,0.543,0.927,0,-5.209,1,0.000342,0.543,0.354,120.097,4,10,FALSE,-2.58362262272716,-3.42038020107893,427.004683815061
"93",41,0.644,0.891,2,-5.147,1,0.00111,0.00798,0.504,110.007,4,10,FALSE,-2.94503915923847,-2.13707065451647,489.375111749668
"94",62,0.467,0.432,7,-11.753,1,0.175,0.001,0.238,142.642,4,10,FALSE,-3.56489347433295,-1.48722027970985,520.896342855275
"95",44,0.514,0.387,6,-11.51,0,0.0753,0.00391,0.461,84.112,4,5,TRUE,-0.894040122939335,-3.0261914810387,432.217537820945
"96",NA,0.381,0.214,4,-11.629,1,0.944,0.00391,0.393,127.581,3,0,TRUE,-3.39025744162382,-2.24431618487007,1.89367367833003
"97",60,0.762,0.516,5,-8.016,0,0.0288,0.00391,0.721,156.97,4,5,TRUE,-2.33407576008542,-2.33717653776366,397.492138287036
"98",28,0.357,0.943,4,-6.168,0,0.000547,0.00391,0.482,147.217,4,10,TRUE,-2.29263476214088,-1.93102153656156,457.91047159898
"99",38,0.576,0.931,7,-2.491,1,0.00085,0.00391,0.735,133.986,4,10,TRUE,-2.87706074383649,-1.94491064872223,495.728756478782
"100",3,0.61,0.482,5,-9.137,1,0.299,0.00391,0.869,73.628,4,9,TRUE,-1.98777435315401,-2.94313982343482,383.422743196071
"101",24,0.491,0.504,4,-13.581,0,0.625,0.794,0.145,159.911,4,6,FALSE,-2.871746293773,-1.50507789710986,508.695390189453
"102",25,0.117,0.916,1,-3.281,1,1.39e-05,0.0992,0.423,151.886,4,1,FALSE,-2.62693114981742,-1.51868354916564,519.812466183719
"103",63,0.86,0.668,7,-8.512,1,0.423,1.85e-06,0.237,128.096,4,9,FALSE,-1.50959257746438,-2.3434070875143,489.897948556636
"104",22,0.766,0.526,10,-11.819,1,0.784,0.000214,0.934,141.631,4,10,FALSE,-3.23907853218572,-2.43155547429101,487.852436706019
"105",71,0.529,0.621,11,-6.018,1,0.13,0.00391,0.617,97.189,4,9,TRUE,-3.51998091765212,-1.75446368448436,1.57536768089231
"106",55,0.697,0.919,7,-6.174,1,0.00694,0.0621,0.943,118.341,4,6,FALSE,-3.54045944899566,-1.59454929994035,506.359556046886
"107",28,0.407,0.932,11,-6.252,1,0.00363,0.346,0.173,102.954,4,8,FALSE,-2.1803674602698,-1.4740332754279,484.988659661234
"108",55,0.564,0.753,5,-5.223,1,0.00512,2.43e-06,0.414,152.064,4,10,FALSE,-3.13960264397369,-1.78976146656538,461.028198703724
"109",44,0.744,0.928,10,-5.628,0,0.000409,0.624,0.507,123.014,4,6,FALSE,-3.00578260940749,-2.02495335639577,413.666532366349
"110",65,0.539,0.788,9,-3.227,0,0.0089,0.00391,0.357,159.986,4,10,TRUE,-3.2289261607217,-1.23787435600162,442.914212912614
"111",11,0.431,0.967,1,-4.555,1,0.00159,0.0064,0.179,146.623,4,6,FALSE,-2.17155683058764,-1.95192822138088,519.076102320267
"112",NA,0.545,0.919,2,-7.679,1,0.00269,0.00512,0.386,104.364,4,10,FALSE,-3.03032371832361,-2.32483070194137,559.975892338233
"113",66,0.266,0.294,7,-11.938,0,0.771,0.697,0.0397,137.941,3,9,FALSE,-3.53701710480469,-2.23492644452023,900.598134575017
"114",40,0.645,0.329,2,-16.642,1,0.239,0.892,0.184,128.099,4,0,FALSE,-3.17246945205404,-0.980829253011726,1.8830383248888
"115",59,0.508,0.912,0,-1.798,1,9.75e-05,1.25e-06,0.533,139.381,4,10,FALSE,-2.49253567695249,-2.70455631184795,478.107728446215
"116",42,0.579,0.661,7,-4.011,1,0.0675,0.000373,0.374,144.909,3,10,FALSE,-3.16533505794017,-1.19402247347277,536.159491196416
"117",NA,0.521,0.527,2,-6.371,1,0.0931,0.0244,0.273,122.271,4,10,FALSE,-3.51998091765212,-2.24431618487007,509.536063493056
"118",16,0.426,0.619,4,-11.501,0,8.44e-05,0.00239,0.382,162.721,4,10,FALSE,-2.62831523308336,-1.77195684193188,1.67550987165101
"119",47,0.449,0.854,3,-8.261,1,4.62e-05,0.016,0.408,152.142,4,8,FALSE,-3.14423228187243,-1.40242374304977,556.62105601567
"120",19,0.698,0.609,0,-6.993,1,0.743,0.00391,0.665,131.057,4,2,TRUE,-3.0261914810387,-1.67131331615219,482.092314811178
"121",38,0.54,0.425,5,-9.577,0,0.428,0.00391,0.239,88.047,4,9,TRUE,-2.9603651297167,-1.52326021619305,469.620059196794
"122",59,0.691,0.231,11,-10.512,1,0.815,0.00391,0.298,85.153,4,0,TRUE,-3.05548227795977,-2.2730262907525,1.82853766709904
"123",57,0.58,0.551,9,-9.898,0,0.181,0.00719,0.516,115.896,4,10,FALSE,-2.84386992424474,-1.89711998488588,448.567720639816
"124",42,0.565,0.754,8,-11.636,0,0.678,0.0442,0.922,135.01,3,3,FALSE,-3.36969871460278,-2.58229899579665,2.46080271456287
"125",43,0.616,0.551,7,-7.27,1,0.155,0.00391,0.618,75.027,4,10,TRUE,-3.69288747551148,-2.31263542884755,465.159112562572
"126",62,0.546,0.878,7,-5.137,1,0.0133,0.00391,0.35,119.945,4,1,TRUE,-2.94694210938456,-2.00248050054371,505.371150739731
"127",50,0.618,0.215,2,-12.8,1,0.759,0.00962,0.214,90.004,4,1,FALSE,-3.2188758248682,-2.21640739675299,538.948977176875
"128",57,0.639,0.859,1,-3.923,1,0.18,0.000499,0.523,115.97,4,10,FALSE,-2.8931756852289,-2.52823177452637,519.715306682418
"129",60,0.577,0.676,8,-11.931,1,0.000895,2.29e-06,0.676,95.98,4,8,FALSE,-3.52336501563636,-2.77258872223978,495.244384117579
"130",52,0.551,0.233,6,-18.251,0,0.71,0.000949,0.659,89.574,4,6,FALSE,-3.4673371841667,-2.20727491318972,406.432036138885
"131",28,0.454,0.387,2,-10.159,0,0.406,0.00099,0.686,97.995,4,10,FALSE,-3.17725415017738,-2.54720767598538,453.357474847388
"132",37,0.632,0.8,5,-7.227,0,0.547,0.00391,0.496,92.757,4,5,TRUE,-1.45243416362444,-1.9173226922034,458.075321317357
"133",56,0.295,0.715,2,-6.533,1,0.00212,1.55e-06,0.242,86.937,4,10,FALSE,-2.64648484544406,-1.41881755282545,446.959729729648
"134",50,0.77,0.656,10,-11.169,0,0.11,0.00391,0.788,98.82,4,5,TRUE,-1.40242374304977,-2.53451715034133,503.401430272104
"135",45,0.717,0.245,7,-10.908,0,0.665,0.000119,0.502,83.554,4,2,FALSE,-3.00983119793349,-0.954511944694353,463.608671187242
"136",50,0.778,0.399,1,-8.984,1,0.0751,0.835,0.321,137.305,4,1,FALSE,-2.45573627248822,-2.2730262907525,260.230666909187
"137",48,0.438,0.951,7,-5.192,0,4.63e-05,0.233,0.461,165.088,4,8,FALSE,-2.60911025324731,-1.04696905551627,461.440136962532
"138",10,0.451,0.776,3,-11.756,0,0.0518,0.703,0.609,177.953,4,6,FALSE,-2.83531555214809,-2.20727491318972,575.590131951548
"139",38,0.617,0.375,5,-11.889,0,0.742,0.513,0.117,151.983,4,1,FALSE,-3.44514926919134,-2.21640739675299,622.532730063247
"140",54,0.565,0.768,2,-5.332,0,0.0277,0.00391,0.58,124.006,4,8,TRUE,-3.26491976336961,-2.62416871712151,473.188123266001
"141",32,0.62,0.835,9,-6.711,0,0.273,0.00339,0.699,99.022,4,9,FALSE,-3.44514926919134,-2.1803674602698,474.417537618499
"142",69,0.589,0.797,9,-5.464,1,0.0289,4.35e-06,0.232,102.489,4,10,FALSE,-1.89711998488588,-0.959720289801491,540.197186219995
"143",38,0.443,0.858,8,-6.935,1,0.000843,0.00243,0.34,169.951,4,8,FALSE,-3.2754461763566,-1.71479842809193,549.120205419542
"144",41,0.605,0.162,4,-12.932,0,0.98,0.899,0.126,95.576,3,7,FALSE,-3.34387231504289,-2.26336437984076,2.39483123977453
"145",30,0.624,0.26,1,-11.64,1,0.904,0.0263,0.551,51,4,2,FALSE,-2.7790092900427,-2.4949569856415,396.147699728271
"146",7,0.513,0.658,6,-7.185,0,0.512,0.00391,0.698,145.896,4,3,TRUE,-2.777400279237,-1.56064774826467,1.78362925884277
"147",71,0.533,0.905,2,-5.27,1,0.00876,0.578,0.486,108.9,4,10,FALSE,-2.58494800396823,-2.66212126921381,1.68727097112467
"148",21,0.588,0.747,7,-6.064,1,0.116,7.2e-05,0.263,138.067,4,10,FALSE,-2.99974029495153,-1.41058705368894,498.998997994986
"149",23,0.487,0.975,11,-4.974,1,7.47e-05,0.0183,0.526,139.964,4,8,FALSE,-2.25379492882461,-1.60445037092306,449.465237810445
"150",30,0.621,0.375,5,-11.8,1,0.701,1.2e-06,0.508,132.611,4,9,FALSE,-3.51660823317348,-2.10373423424888,468.641654145254
"151",66,0.482,0.829,5,-5.576,1,0.00034,0.00391,0.739,147.99,4,10,TRUE,-3.13040717688059,-0.972861083362549,460.767837419237
"152",69,0.369,0.424,7,-5.431,1,0.64,0.00391,0.181,179.597,4,9,TRUE,-3.44828898919601,-1.69281952137315,451.653628348096
"153",50,0.552,0.673,9,-4.9,0,0.00553,0.00391,0.174,89.993,4,6,TRUE,-3.51324688547078,-2.17155683058764,473.342370805741
"154",34,0.548,0.347,7,-14.7,0,0.771,0.00175,0.498,117.75,4,3,FALSE,-3.31869616015041,-2.0874737133771,2.62746075137194
"155",49,0.421,0.935,8,-5.153,0,0.000442,0.000212,0.455,165.02,4,10,FALSE,-2.66355496121566,-2.30258509299405,511.116425093148
"156",30,0.524,0.336,2,-8.034,1,0.841,0.00118,0.458,110.964,5,0,FALSE,-3.18206185174548,-2.1982250776698,2.18125728262395
"157",65,0.436,0.876,10,-4.902,0,3.33e-05,0.000104,0.512,157.044,4,1,FALSE,-2.73799407747528,-1.58474529984373,505.054452509826
"158",17,0.5,0.47,0,-7.996,1,0.642,0.0511,0.346,158.809,4,10,FALSE,-3.36679595494482,-1.28735441326499,518.073353879545
"159",32,0.705,0.756,9,-5.274,0,0.00477,0.00391,0.846,129.98,4,10,TRUE,-3.18206185174548,-2.41687423939617,376.662979332984
"160",41,0.825,0.781,9,-4.732,0,0.0833,3.55e-05,0.812,100.013,4,9,FALSE,-2.23492644452023,-1.34707364796661,419.537840963125
"161",48,0.657,0.535,1,-9.715,1,0.000329,0.000492,0.738,132.257,4,8,FALSE,-3.05760767727208,-1.14570389620196,434.545739824935
"162",42,0.58,0.93,1,-5.719,1,0.0128,0.00391,0.534,97.917,4,8,TRUE,-2.12026353620009,-2.28278246569787,379.824959685379
"163",37,0.621,0.602,9,-7.796,0,0.000316,0.853,0.609,116.011,4,6,FALSE,-3.57912859015482,-2.00991547903123,479.741597112446
"164",19,0.754,0.92,3,-4.484,0,0.183,0.689,0.966,147.998,4,1,FALSE,-2.99573227355399,-1.67664666212755,515.880800185469
"165",41,0.881,0.636,4,-13.617,0,0.0257,0.000257,0.616,108.863,4,5,FALSE,-1.8578992717326,-1.57503648571677,509.339768720252
"166",58,0.282,0.932,9,-4.701,1,0.12,0.0335,0.536,190.08,4,10,FALSE,-3.2519156789464,-2.67075441635851,505.858675916505
"167",32,0.449,0.958,6,-6.602,0,5.33e-06,0.000116,0.389,107.458,4,6,FALSE,-2.09557092360972,-1.91054300521802,359.684584045522
"168",37,0.548,0.709,9,-6.557,0,0.00678,3.82e-06,0.191,119.998,4,10,FALSE,-3.60086857679122,-2.26336437984076,473.511351500679
"169",33,0.65,0.6,9,-10.615,0,0.0278,0.00121,0.795,110.016,4,10,FALSE,-3.2188758248682,-0.209487224866724,424.503239092471
"170",39,0.494,0.969,6,-2.694,1,0.172,0.00158,0.165,121.214,4,10,FALSE,-1.50507789710986,-1.91054300521802,412.077662583159
"171",42,0.761,0.707,5,-6.208,0,0.68,0.421,0.893,113.976,4,6,FALSE,-3.33540964112415,-2.33407576008542,456.531488508734
"172",39,0.553,0.939,3,-4.04,0,0.000833,0.000181,0.369,124.984,4,8,FALSE,-2.53199825732185,-0.906340401020987,445.914790066443
"173",55,0.417,0.355,0,-12.372,1,0.847,4.18e-05,0.0914,86.078,4,9,FALSE,-2.81507877386073,-2.1803674602698,470.13295991666
"174",30,0.824,0.489,9,-5.669,0,0.302,0.00391,0.771,86.815,4,1,TRUE,-2.67075441635851,-2.4224953896666,400.312378024962
"175",17,0.349,0.336,4,-11.111,1,0.723,0.913,0.062,112.966,5,6,FALSE,-3.5335865697079,-1.87080267656851,334.312727846249
"176",24,0.921,0.768,0,-5.735,1,0.507,0.000738,0.775,103.713,4,5,FALSE,-1.1679623668029,-2.93746336543002,807.663296182264
"177",33,0.601,0.728,4,-10.469,1,0.378,0.726,0.862,137.99,3,0,FALSE,-3.13269812862715,-0.999672340813206,2.25688945232149
"178",30,0.353,0.495,8,-11.503,1,0.000119,0.0119,0.567,81.018,4,2,FALSE,-3.36969871460278,-2.04022082852655,600.499791840097
"179",79,0.748,0.551,11,-6.12,1,0.235,0.00391,0.66,103.953,4,4,TRUE,-3.35526844977376,-2.12863178587061,1.55205777373138
"180",23,0.15,0.843,9,-8.369,1,0.000127,0.502,0.729,180.034,4,1,FALSE,-3.12584095890101,-0.407968238326283,382.010471060677
"181",47,0.774,0.64,2,-7.949,1,0.743,0.0316,0.947,136.226,4,1,FALSE,-3.40219788199574,-2.43041846450393,433.512398899962
"182",28,0.373,0.964,11,-7.925,0,0.000152,0.791,0.207,83.958,4,8,FALSE,-2.52823177452637,-2.21640739675299,558.894444416833
"183",43,0.42,0.831,7,-9.069,1,0.00028,0.0711,0.752,120.867,4,10,FALSE,-2.58494800396823,-1.8773173575897,467.089927101838
"184",60,0.428,0.98,11,-2.975,0,0.0734,0.00391,0.423,92.035,4,5,TRUE,-0.814185508937001,-2.06356819252355,410.675054026903
"185",70,0.616,0.91,0,-3.004,1,0.0459,0.00391,0.693,144.072,4,10,TRUE,-3.25450300251135,-1.0700248318162,502.035855293225
"186",90,0.797,0.631,3,-3.818,0,0.0904,3.71e-06,0.288,129.915,4,9,FALSE,-2.54338357954698,-2.30458709566472,1.75220337575294
"187",20,0.418,0.761,9,-8.285,1,0.295,1.37e-06,0.467,152.472,4,10,FALSE,-2.8877751320489,-1.02165124753198,546.528132853195
